,Ticker,Latest_price,sector,industry,marketCap,trailing_PE_ratio,pegRatio,enterpriseValue,ebitda,ebitdaMargins,profitMargins,revenueGrowth,freeCashflow,operatingCashflow,returnOnAssets,returnOnEquity,enterpriseToRevenue,enterpriseToEbitda,priceToBook,beta,forwardEps,currentRatio,quickRatio,debtToEquity,sharesOutstanding,earningsGrowth,fiveYearAvgDividendYield
99,SOHU,18.51,Communication Services,Internet Content & Information,727559616.0,0.7585444,,-932163136.0,252214752.0,0.66809,2.56313,0.369,,,0.06147,0.13587,-2.469,-3.696,0.57002956,2.123809,0.23,3.552,3.333,0.293,39306300.0,,
100,HIBB,49.14,Consumer Cyclical,Apparel Retail,672662720.0,4.469304,0.8,1198877952.0,286848000.0,0.17027001,0.10719,0.152,76913872.0,164495008.0,0.21108,0.53219,0.712,4.179,2.201613,1.916363,10.53,1.526,0.203,87.263,13688700.0,0.143,
101,TPB,34.17,Consumer Defensive,Tobacco,644897216.0,13.244185,1.41,988683200.0,114794000.0,0.25768998,0.11186,0.055,38867624.0,60044000.0,0.124460004,0.38226002,2.219,8.613,4.682746,0.439582,3.09,4.898,2.572,312.568,18873200.0,0.473,
102,BWMX,15.63,Consumer Cyclical,Specialty Retail,571823552.0,7.1304746,,-496292128.0,3166746112.0,0.30278,0.15905,0.04,130871248.0,1293330048.0,0.38501,1.82565,-0.047,-0.157,0.3920044,0.394343,3.06,1.486,0.885,1.308,36585000.0,,
103,BDSI,5.56,Healthcare,Drug Manufacturers—Specialty & Generic,549305216.0,19.172415,0.61,271188128.0,47161000.0,0.28459,0.18807,0.042,36171500.0,38305000.0,0.10406999,0.28506002,1.636,5.75,4.4730487,0.843116,0.33,2.424,2.038,47.823,98795904.0,-0.249,
104,CO,4.41,Healthcare,Diagnostics & Research,536039904.0,6.7534456,,-5874121728.0,637940992.0,0.52206004,0.41447,0.098,444319008.0,685865984.0,0.04652,0.11711001,-4.807,-9.208,0.1154813,0.362506,0.58,10.216,10.042,0.037,121551000.0,-0.046,
105,MCFT,27.96,Consumer Cyclical,Recreational Vehicles,529721760.0,9.326218,0.65,605200960.0,92088000.0,0.16268,0.10067,0.388,6964000.0,47611000.0,0.20365,0.64643997,1.069,6.572,4.516233,2.115844,4.5,1.496,0.42,72.122,18945700.0,0.079,
106,ULH,17.77,Industrials,Trucking,478359520.0,6.4854016,2.27,1000947648.0,173811008.0,0.10411,0.044180002,0.221,22245500.0,75344000.0,0.05896,0.28618,0.6,5.759,1.6619903,1.477445,3.25,1.383,1.307,194.132,26919500.0,-0.24,1.69
107,SPWH,10.76,Consumer Cyclical,Specialty Retail,472148800.0,6.0111732,0.35,846501184.0,142938000.0,0.09355,0.0521,0.04,-57535248.0,-11263000.0,0.09784,0.37138999,0.554,5.922,1.854533,0.963636,1.53,1.361,0.01,133.91,43880000.0,-0.279,
108,ITRN,22.19,Technology,Communication Equipment,459053408.0,14.656539,0.78,528073344.0,70358000.0,0.26637,0.11927,0.089,31594624.0,56246000.0,0.108559996,0.26797,1.999,7.506,3.5272613,1.32987,2.09,1.515,0.978,26.39,20687400.0,-0.214,3.35
109,QIWI,7.23,Technology,Software—Infrastructure,453414976.0,2.1333728,,-40547291136.0,14145999872.0,0.33089,0.36894,0.084,-7753124864.0,-2271000064.0,0.10645001,0.4394,-0.948,-2.866,0.010965528,0.695584,1.66,2.17,1.87,15.941,62430800.0,1.914,
110,NOA,15.62,Energy,Oil & Gas Equipment & Services,444237472.0,13.407725,1.03,852466048.0,164975008.0,0.26995,0.07551,0.774,25474876.0,162500000.0,0.04287,0.18406999,1.395,5.167,1.6890138,1.575738,1.87,1.019,0.631,165.368,28440300.0,0.995,1.08
111,TLYS,12.84,Consumer Cyclical,Apparel Retail,397598304.0,6.4587526,0.6,512360640.0,102181000.0,0.1364,0.08151,0.469,55292752.0,64714000.0,0.09995,0.35516998,0.684,5.014,2.0639768,2.146195,1.76,1.716,1.081,134.254,23659500.0,8.429,
112,GRVY,53.12,Communication Services,Electronic Gaming & Multimedia,369125568.0,5.5367937,,-224912097280.0,117134237696.0,0.27254,0.18555,-0.024,,,0.24622999,0.38879,-0.523,-1.92,0.0015087102,-0.00987,,3.884,3.809,,6948900.0,0.042,
113,HLG,13.98,Consumer Defensive,Education & Training Services,360377824.0,9.755757,,-329016960.0,748854976.0,0.54431,0.17087999,0.328,731145600.0,893392000.0,0.12536,0.22663,-0.239,-0.439,0.1637616,-0.054545,3.4,0.834,0.766,3.667,25778100.0,,
114,HEAR,21.51,Technology,Consumer Electronics,345149472.0,13.220652,1.15,347070656.0,40201000.0,0.10312,0.07563,-0.242,-4510000.0,8132000.0,0.10009,0.25711,0.89,8.633,2.582853,1.502857,1.57,2.13,0.711,6.105,16046000.0,-0.865,
115,BBW,20.93,Consumer Cyclical,Specialty Retail,341740864.0,9.835526,0.28,381254752.0,53808000.0,0.1434,0.08957,0.274,25303750.0,27553000.0,0.09707,0.44882,1.016,7.085,3.561947,1.986822,2.35,1.431,0.64,117.677,16327800.0,2.273,
116,VTRU,14.43,Consumer Defensive,Education & Training Services,339660576.0,52.857143,25.47,-16728945.0,162992000.0,0.27093,0.0635,0.174,58871624.0,75155000.0,0.05116,0.03796,-0.028,-0.103,0.3225951,,1.03,1.897,1.834,30.267,23538500.0,0.2,
117,AVNW,28.89,Technology,Communication Equipment,323036416.0,3.1615233,1.07,307359168.0,30874000.0,0.10679,0.37410998,0.104,-1848625.0,4915000.0,0.06307,0.77966005,1.063,9.955,1.7199498,,2.65,1.821,1.441,1.824,11181600.0,-0.155,
118,SCPL,13.06,Communication Services,Electronic Gaming & Multimedia,320449312.0,15.150813,1.0,406324160.0,171200000.0,0.2859,0.03591,-0.03,132087504.0,187800000.0,0.16701001,0.31723,0.679,2.373,3.329934,0.35072,0.9,6.728,6.432,1.584,24536700.0,0.043,
